#SUBNET,COUNTRY,STATE,CITY,ZIP
#BJK UPDATED 6-22-2022,,,,
#SOUTHERN MARKETS,,,,
24.96.209.0/24,US,US-GA,Augusta,30909
24.96.190.0/24,US,US-GA,Augusta,30904
24.96.191.0/24,US,US-GA,Augusta,30906
24.96.195.0/24,US,US-GA,Augusta,30906
24.96.196.0/24,US,US-GA,Evan,30809
75.76.218.192/27,US,US-GA,Grovetown,30813
24.214.21.0/24,US,US-GA,Grovetown,30813
24.236.119.0/24,US,US-GA,Grovetown,30813
24.214.113.0/24,US,US-AL,Auburn,36830
24.96.224.0/24,US,US-AL,Auburn,36830
96.27.0.0/24,US,US-AL,Auburn,36830
207.98.130.0/24,US,US-SC,Charleston,29405
24.42.255.0/25,US,US-SC,North Charleston,29406
207.98.131.0/24,US,US-SC,North Charleston,29406
207.98.132.0/24,US,US-SC,Charleston,29414
64.233.209.96/27,US,US-SC,Summerville,29464
64.233.251.128/28,US,US-SC,Summerville,29464
64.53.181.160/28,US,US-SC,Summerville,29464
207.98.133.0/24,US,US-SC,Summerville,29464
64.53.181.128/27,US,US-SC,Mount Pleasant,29464
64.53.181.192/27,US,US-SC,Mount Pleasant,29464
207.98.134.0/24,US,US-SC,Mount Pleasant,29464
64.233.208.0/25,US,US-SC,Charleston,29407
64.233.209.208/28,US,US-SC,Charleston,29407
64.233.209.224/27,US,US-SC,Charleston,29407
64.233.251.64/26,US,US-SC,Charleston,29407
64.53.181.64/26,US,US-SC,Charleston,29407
64.53.242.0/25,US,US-SC,Charleston,29407
207.98.135.0/24,US,US-SC,Charleston,29407
207.98.137.0/24,US,US-SC,Charleston,29412
24.42.143.0/24,US,US-GA,Columbus,31906
24.214.101.0/24,US,US-GA,Columbus,31906
207.98.228.32/30,US,US-GA,Columbus,31906
24.96.243.0/24,US,US-GA,Columbus,31904
24.214.238.0/24,US,US-GA,Columbus,31904
24.214.154.0/24,US,US-GA,Columbus,31909
24.96.174.0/24,US,US-AL,Madison,35758
24.96.142.0/24,US,US-AL,Huntsville,35802
24.96.145.0/24,US,US-AL,Meridianville,35759
24.96.88.0/24,US,US-AL,Huntsville,35805
24.96.89.0/24,US,US-AL,Huntsville,35805
24.42.223.0/24,US,US-AL,Huntsville,35805
69.73.39.0/24,US,US-TN,Knoxville,37932
69.73.67.0/24,US,US-TN,Knoxville,37932
69.73.87.0/24,US,US-TN,Knoxville,37912
69.73.88.0/24,US,US-TN,Knoxville,37912
24.42.214.0/24,US,US-AL,Montgomery,36107
24.96.8.0/24,US,US-AL,Montgomery,36107
24.42.189.0/25,US,US-AL,Montgomery,36109
24.42.163.0/24,US,US-AL,Montgomery,36117
24.42.164.0/24,US,US-AL,Montgomery,36117
67.149.28.0/24,US,US-AL,Montgomery,36117
24.42.195.0/24,US,US-AL,Montgomery,36108
143.59.200.0/26,US,US-AL,Montgomery,36108
24.42.189.128/25,US,US-AL,Prattville,36067
24.96.226.0/24,US,US-FL,Panama City Beach,32407
69.47.64.64/26,US,US-FL,Panama City Beach,32407
69.47.64.128/26,US,US-FL,Panama City Beach,32407
24.96.216.0/24,US,US-FL,Lynn Haven,32444
24.96.221.0/24,US,US-FL,Panama City,32401
24.42.139.0/24,US,US-FL,Panama City,32401
143.59.80.0/24,US,US-FL,Panama City,32401
24.96.225.0/24,US,US-FL,Panama City,32404
207.98.208.0/24,US,US-FL,Clearwater,33756
69.73.58.0/24,US,US-FL,Palm Harbor,34684
207.98.143.0/24,US,US-FL,Largo,33778
24.96.111.0/24,US,US-FL,North Clearwater,33762
24.96.97.0/24,US,US-FL,Saint Petersburg,33711
96.27.104.64/26,US,US-FL,Saint Petersburg,33711
24.214.50.0/24,US,US-GA,Lanett,36863
24.214.128.0/24,US,US-GA,Lanett,36863
69.73.15.0/24,US,US-GA,Columbus,31904
24.214.12.0/24,US,US-GA,Columbus,31909
24.96.176.0/24,US,US-AL,Madison,35758
216.186.189.64/26,US,US-AL,Madison,35758
24.96.187.0/24,US,US-AL,Madison,35758
24.96.189.0/24,US,US-AL,Madison,35758
207.98.180.0/23,US,US-AL,Dothan,36312
143.59.121.0/24,US,US-AL,Dothan,36312
23.28.158.0/24,US,US-AL,Dothan,36312
96.27.118.0/24,US,US-AL,Dothan,36312
216.47.193.0/24,US,US-AL,Dothan,36312
216.47.194.0/24,US,US-AL,Dothan,36312
216.47.195.0/24,US,US-AL,Dothan,36312
216.47.196.0/24,US,US-AL,Dothan,36312
216.47.197.0/24,US,US-AL,Dothan,36312
216.47.198.0/24,US,US-AL,Dothan,36312
216.47.207.0/24,US,US-AL,Dothan,36312
216.47.221.0/24,US,US-AL,Dothan,36312
207.98.237.0/24,US,US-AL,Dothan,36312
64.233.230.0/23,US,US-AL,Dothan,36312
69.14.216.0/22,US,US-AL,Dothan,36312
24.192.122.0/24,US,US-AL,Dothan,36312
50.4.102.0/24,US,US-AL,Dothan,36312
143.59.84.0/24,US,US-AL,Dothan,36312
50.4.230.0/24,US,US-AL,Dothan,36312
24.35.16.0/22,US,US-AL,Dothan,36312
67.149.12.0/22,US,US-AL,Dothan,36312
143.59.248.0/22,US,US-AL,Dothan,36312
24.214.68.0/24,US,US-AL,Dothan,36312
96.27.66.128/25,US,US-AL,Dothan,36312
75.76.126.192/27,US,US-AL,Dothan,36312
216.186.247.128/26,US,US-FL,Saint Petersburg,33711
143.59.144.0/20,US,US-GA,Newnan,30263
50.4.58.0/23,US,US-GA,Newnan,30263
72.15.64.0/22,US,US-GA,Newnan,30263
66.216.196.0/24,US,US-GA,Newnan,30263
143.59.32.0/19,US,US-GA,Newnan,30263
66.216.197.0/24,US,US-GA,Newnan,30263
72.15.80.0/21,US,US-GA,Newnan,30263
72.15.88.0/21,US,US-GA,Newnan,30263
72.15.123.0/24,US,US-GA,Newnan,30263
96.27.184.0/26,US,US-GA,Newnan,30263
76.73.128.0/25,US,US-GA,Newnan,30263
76.73.128.128/25,US,US-GA,Newnan,30263
23.28.124.0/22,US,US-GA,Augusta,30909
24.42.201.0/24,US,US-GA,Augusta,30909
24.42.204.0/24,US,US-GA,Augusta,30909
